trial_code;hospital_id
NCT04380636;e6c9dfdc
NCT04389632;8d0a92b9
NCT04389632;734eb4fb
NCT04400474;36b9beb1
NCT04400474;b4e5e233
NCT04400474;ebca53fb
NCT04400474;269c52bb
NCT04400474;1a1091f6
NCT04400474;6f48436f
NCT04400474;792cd886
NCT04400474;6f6c33b9
NCT04400474;d53ee9ad
NCT04400474;2cfa42f7
NCT04400474;4ef54e17
NCT04401020;34d46786
NCT04401020;c8101d54
NCT04418661;52a4292c
NCT04418661;e637e1c9
NCT04421963;5c31aa5b
NCT04421963;ebecda7f
NCT04421963;02e5baa2
NCT04421963;89f09106
NCT04421963;d13c441e
NCT04421963;8b5c831f
NCT04428151;6ff161ac
NCT04428151;7bc97667
NCT04428151;0d591594
NCT04428151;d5a663fb
NCT04428151;1ea8f6e5
NCT04428151;11e8049a
NCT04429087;9de9b6b2
NCT04429087;57298d6d
NCT04429087;5f6b0cdc
NCT04429087;2c1324ac
NCT04434196;890abb32
NCT04434196;f9457103
NCT04434196;999f7d12
NCT04442022;194f8ead
NCT04442022;eaccc94c
NCT04442022;81f4445e
NCT04446117;63f30e2b
NCT04446117;ff90eca3
NCT04446117;7c113942
NCT04446117;d33175aa
NCT04446117;e2305137
NCT04446117;fd7c6e16
NCT04446117;60a68575
NCT04446117;1e58eead
NCT04446117;e1574622
NCT04446117;4ea3e576
NCT04446117;3,21E+06
NCT04446117;33eab43b
NCT04446117;4161d837
NCT04446117;d5c28438
NCT04449874;39612ade
NCT04449874;abe8323e
NCT04449874;434f8ded
NCT04449874;aa1033a1
NCT04449874;6f2dcacb
NCT04449874;54107721
NCT04449874;0d591594
NCT04468607;0d91de58
NCT04468607;81fee6f1
NCT04468607;0ca41679
NCT04468984;dc60f355
NCT04468984;b0c7b01c
NCT04468984;e5e9cac5
NCT04468984;8598924d
NCT04483505;e1574622
NCT04483505;067a45a1
NCT04483505;7814c45e
NCT04483505;5a27c0e5
NCT04484038;36dec096
NCT04484623;7e139329
NCT04484623;30a3c5c6
NCT04484623;04a2e087
NCT04484623;145782b2
NCT04485260;fcac0760
NCT04485260;1102b5e5
NCT04493853;6566add5
NCT04493853;cbccb1cc
NCT04493853;e62180ff
NCT04493853;cfc8c788
NCT04493853;e102ffe8
NCT04493853;868d5c79
NCT04493853;c1328d64
NCT04493853;7a367d9c
NCT04493853;0c6ae44e
NCT04493853;ec57f544
NCT04494425;ebca53fb
NCT04494425;d5c28438
NCT04494425;4980c7c7
NCT04494425;4b60e6aa
NCT04494425;088ded43
NCT04494425;75d9fbd4
NCT04494425;72c64c51
NCT04494425;63949518
NCT04495621;a7099531
NCT04495621;c7ad8937
NCT04495621;5cd0faf0
NCT04495621;384dc925
NCT04495621;1b2ce633
NCT04497844;898635d8
NCT04497844;9c2b76e1
NCT04497844;e6c9dfdc
NCT04497844;e102ffe8
NCT04497844;7353e0af
NCT04497844;fa5aacc4
NCT04500587;b3c24f92
NCT04504825;72d991a5
NCT04504825;d5c28438
NCT04512235;a73ce420
NCT04512235;ac47e734
NCT04513925;a7255b7b
NCT04513925;8d96c04e
NCT04513925;0d6ca1b6
NCT04513925;bbd305d2
NCT04513925;e5ba8bf4
NCT04513925;bf3cf164
NCT04513925;0d6ca1b6
NCT04513925;f9457103
NCT04513925;be79e106
NCT04513925;fff913b7
NCT04513925;96031a3b
NCT04513925;657ebdf7
NCT04522323;e1574622
NCT04522323;97aeda2c
NCT04522323;1c0e92f4
NCT04522323;0c8d810d
NCT04522323;3576f4e4
NCT04522323;01520f2c
NCT04522323;1ea8f6e5
NCT04522323;6566add5
NCT04522323;7a4bd446
NCT04522323;4b27d497
NCT04522323;ec9e0293
NCT04524689;4980c7c7
NCT04524689;a0d6ebe1
NCT04524689;81218a00
NCT04524689;529eea97
NCT04525638;a9612d10
NCT04525638;ad1f9faf
NCT04525638;5f6b0cdc
NCT04525638;08eb075d
NCT04525638;b3d800df
NCT04529772;b457a0be
NCT04529772;dc48f024
NCT04529772;c06af0d1
